Sample Number (10000 samples per second),HR (mV)
172,662.0
173,662.0
174,662.0
175,662.0
176,662.0
177,662.0
178,662.0
179,662.0
180,662.0
181,662.0
182,662.0
183,662.0
184,662.0
185,662.0
186,662.0
187,662.0
188,662.0
189,645.0
190,618.0
191,590.0
192,564.0
193,541.0
194,519.0
195,501.0
196,485.0
197,471.0
198,458.0
199,447.0
200,428.0
201,285.0
202,68.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,8.0
243,29.0
244,46.0
245,52.0
246,71.0
247,117.0
248,162.0
249,182.0
250,180.0
251,180.0
252,187.0
253,205.0
254,225.0
255,231.0
256,221.0
257,193.0
258,131.0
259,93.0
260,91.0
261,103.0
262,119.0
263,138.0
264,154.0
265,171.0
266,188.0
267,203.0
268,216.0
269,227.0
270,237.0
271,248.0
272,256.0
273,264.0
274,270.0
275,275.0
276,279.0
277,283.0
278,286.0
279,290.0
280,293.0
281,295.0
282,296.0
283,296.0
284,296.0
285,296.0
286,296.0
287,296.0
288,297.0
289,296.0
290,296.0
291,297.0
292,297.0
293,297.0
294,297.0
295,297.0
296,297.0
297,298.0
298,300.0
299,303.0
300,307.0
301,309.0
302,312.0
303,314.0
304,315.0
305,315.0
306,317.0
307,318.0
308,319.0
309,319.0
310,320.0
311,319.0
312,319.0
313,319.0
314,319.0
315,319.0
316,319.0
317,319.0
318,320.0
319,319.0
320,319.0
321,320.0
322,320.0
323,320.0
324,320.0
325,319.0
326,320.0
327,320.0
328,320.0
329,321.0
330,321.0
331,322.0
332,322.0
333,321.0
334,321.0
335,321.0
336,321.0
337,321.0
338,323.0
339,324.0
340,323.0
341,323.0
342,322.0
343,321.0
344,322.0
345,321.0
346,321.0
347,322.0
348,322.0
349,322.0
350,323.0
351,323.0
352,323.0
353,324.0
354,325.0
355,325.0
356,325.0
357,325.0
358,325.0
359,326.0
360,326.0
361,327.0
362,327.0
363,327.0
364,327.0
365,327.0
366,325.0
367,324.0
368,325.0
369,325.0
370,325.0
371,326.0
372,327.0
373,327.0
374,327.0
375,328.0
376,327.0
377,328.0
378,328.0
379,328.0
380,328.0
381,328.0
382,328.0
383,328.0
384,327.0
385,326.0
386,325.0
387,325.0
388,324.0
389,325.0
390,328.0
391,336.0
392,356.0
393,380.0
394,399.0
395,406.0
396,404.0
397,397.0
398,387.0
399,378.0
400,369.0
401,356.0
402,335.0
403,312.0
404,289.0
405,265.0
406,225.0
407,199.0
408,179.0
409,147.0
410,148.0
411,217.0
412,206.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,18.0
442,46.0
443,75.0
444,102.0
445,125.0
446,147.0
447,167.0
448,304.0
449,607.0
450,662.0
451,662.0
452,662.0
453,662.0
454,662.0
455,662.0
456,662.0
457,662.0
458,662.0
459,662.0
460,662.0
461,662.0
462,662.0
463,662.0
464,662.0
465,662.0
466,662.0
467,662.0
468,662.0
469,662.0
470,662.0
471,662.0
472,662.0
473,662.0
474,662.0
475,662.0
476,662.0
477,662.0
478,662.0
479,662.0
480,662.0
481,662.0
482,662.0
483,662.0
484,662.0
485,662.0
486,662.0
487,662.0
488,662.0
489,662.0
490,662.0
491,662.0
492,658.0
493,647.0
494,633.0
495,618.0
496,604.0
497,591.0
498,578.0
499,566.0
500,554.0
501,544.0
502,533.0
503,524.0
504,515.0
505,506.0
506,498.0
507,490.0
508,483.0
509,476.0
510,470.0
511,464.0
512,459.0
513,454.0
514,448.0
515,444.0
516,440.0
517,436.0
518,432.0
519,429.0
520,425.0
521,422.0
522,419.0
523,416.0
524,414.0
525,411.0
526,408.0
527,406.0
528,404.0
529,402.0
530,400.0
531,398.0
532,397.0
533,395.0
534,393.0
535,392.0
536,390.0
537,389.0
538,388.0
539,386.0
540,385.0
541,384.0
542,384.0
543,383.0
544,382.0
545,381.0
546,380.0
547,379.0
548,378.0
549,377.0
550,376.0
551,375.0
552,375.0
553,374.0
554,373.0
555,372.0
556,372.0
557,371.0
558,370.0
559,370.0
560,369.0
561,368.0
562,368.0
563,368.0
564,367.0
565,367.0
566,367.0
567,366.0
568,365.0
569,365.0
570,364.0
571,364.0
572,364.0
573,363.0
574,363.0
575,363.0
576,362.0
577,362.0
578,362.0
579,361.0
580,361.0
581,361.0
582,360.0
583,359.0
584,359.0
585,359.0
586,359.0
587,359.0
588,358.0
589,358.0
590,358.0
591,357.0
592,357.0
593,357.0
594,357.0
595,356.0
596,356.0
597,356.0
598,356.0
599,356.0
600,355.0
601,355.0
602,355.0
603,355.0
604,354.0
605,354.0
606,354.0
607,353.0
608,353.0
609,353.0
610,353.0
611,353.0
612,353.0
613,353.0
614,353.0
615,352.0
616,352.0
617,352.0
618,352.0
619,352.0
620,352.0
621,351.0
622,351.0
623,351.0
624,351.0
625,350.0
626,350.0
627,350.0
628,350.0
629,350.0
630,349.0
631,349.0
632,349.0
633,348.0
634,348.0
635,348.0
636,348.0
637,348.0
638,345.0
639,361.0
640,250.0
641,186.0
642,191.0
643,209.0
644,264.0
645,373.0
646,590.0
647,662.0
648,662.0
649,662.0
650,662.0
651,662.0
652,662.0
653,662.0
654,662.0
655,662.0
656,662.0
657,662.0
658,662.0
659,662.0
660,662.0
661,662.0
662,662.0
663,662.0
664,662.0
665,662.0
666,662.0
667,662.0
668,662.0
669,662.0
670,662.0
671,651.0
672,625.0
673,597.0
674,570.0
675,545.0
676,523.0
677,406.0
678,145.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,32.0
714,93.0
715,79.0
716,40.0
717,45.0
718,55.0
719,56.0
720,60.0
721,68.0
722,78.0
723,90.0
724,103.0
725,105.0
726,108.0
727,131.0
728,162.0
729,195.0
730,230.0
731,254.0
732,260.0
733,255.0
734,244.0
735,228.0
736,204.0
737,179.0
738,165.0
739,162.0
740,165.0
741,156.0
742,130.0
743,99.0
744,92.0
745,104.0
746,125.0
747,149.0
748,174.0
749,198.0
750,221.0
751,246.0
752,267.0
753,283.0
754,294.0
755,296.0
756,297.0
757,297.0
758,299.0
759,305.0
760,311.0
761,319.0
762,325.0
763,331.0
764,336.0
765,341.0
766,344.0
767,347.0
768,352.0
769,358.0
770,358.0
771,355.0
772,352.0
773,351.0
774,349.0
775,350.0
776,349.0
777,348.0
778,345.0
779,343.0
780,343.0
781,345.0
782,345.0
783,347.0
784,348.0
785,350.0
786,353.0
787,354.0
788,355.0
789,351.0
790,341.0
791,330.0
792,317.0
793,305.0
794,300.0
795,297.0
796,303.0
797,308.0
798,307.0
799,307.0
800,310.0
801,313.0
802,315.0
803,318.0
804,319.0
805,320.0
806,322.0
807,326.0
808,332.0
809,332.0
810,330.0
811,329.0
812,329.0
813,329.0
814,329.0
815,329.0
816,329.0
817,329.0
818,329.0
819,329.0
820,328.0
821,327.0
822,328.0
823,327.0
824,327.0
825,328.0
826,330.0
827,335.0
828,334.0
829,331.0
830,329.0
831,328.0
832,328.0
833,328.0
834,328.0
835,328.0
836,329.0
837,329.0
838,330.0
839,330.0
840,329.0
841,329.0
842,330.0
843,330.0
844,330.0
845,333.0
846,338.0
847,337.0
848,334.0
849,332.0
850,331.0
851,330.0
852,331.0
853,331.0
854,330.0
855,329.0
856,330.0
857,331.0
858,331.0
859,330.0
860,330.0
861,330.0
862,329.0
863,329.0
864,332.0
865,336.0
866,335.0
867,334.0
868,332.0
869,332.0
870,332.0
871,332.0
872,331.0
873,330.0
874,330.0
875,331.0
876,331.0
877,331.0
878,331.0
879,332.0
880,332.0
881,332.0
882,333.0
883,334.0
884,338.0
885,338.0
886,334.0
887,333.0
888,333.0
889,332.0
890,333.0
891,333.0
892,332.0
893,332.0
894,332.0
895,331.0
896,331.0
897,331.0
898,331.0
899,332.0
900,334.0
901,334.0
902,334.0
903,334.0
904,339.0
905,341.0
906,339.0
907,335.0
908,333.0
909,333.0
910,333.0
911,332.0
912,331.0
913,330.0
914,330.0
915,331.0
916,331.0
917,331.0
918,332.0
919,333.0
920,334.0
921,335.0
922,334.0
923,334.0
924,338.0
925,340.0
926,338.0
927,336.0
928,335.0
929,334.0
930,334.0
931,333.0
932,333.0
933,333.0
934,333.0
935,333.0
936,333.0
937,333.0
938,334.0
939,334.0
940,334.0
941,334.0
942,335.0
943,335.0
944,339.0
945,343.0
946,340.0
947,338.0
948,336.0
949,336.0
950,334.0
951,334.0
952,333.0
953,333.0
954,334.0
955,333.0
956,333.0
957,333.0
958,333.0
959,333.0
960,334.0
961,334.0
962,334.0
963,334.0
964,334.0
965,339.0
966,341.0
967,340.0
968,338.0
969,336.0
970,335.0
971,334.0
972,334.0
973,333.0
974,334.0
975,333.0
976,334.0
977,334.0
978,335.0
979,335.0
980,335.0
981,336.0
982,336.0
983,335.0
984,335.0
985,337.0
986,340.0
987,341.0
988,338.0
989,337.0
990,337.0
991,337.0
992,337.0
993,337.0
994,336.0
995,335.0
996,334.0
997,334.0
998,334.0
999,334.0
1000,334.0
1001,335.0
1002,335.0
1003,335.0
1004,334.0
1005,333.0
1006,337.0
1007,341.0
1008,339.0
1009,337.0
1010,335.0
1011,335.0
1012,335.0
1013,335.0
1014,335.0
1015,336.0
1016,336.0
1017,336.0
1018,337.0
1019,337.0
1020,337.0
1021,338.0
1022,338.0
1023,337.0
1024,337.0
1025,339.0
1026,343.0
1027,342.0
1028,340.0
1029,338.0
1030,338.0
1031,338.0
1032,337.0
1033,335.0
1034,336.0
1035,336.0
1036,337.0
1037,337.0
1038,337.0
1039,336.0
1040,336.0
1041,336.0
1042,337.0
1043,336.0
1044,335.0
1045,340.0
1046,344.0
1047,342.0
1048,338.0
1049,336.0
1050,336.0
1051,336.0
1052,337.0
1053,336.0
1054,335.0
1055,334.0
1056,334.0
1057,335.0
1058,336.0
1059,336.0
1060,337.0
1061,336.0
1062,336.0
1063,336.0
1064,335.0
1065,337.0
1066,342.0
1067,342.0
1068,339.0
1069,336.0
1070,335.0
1071,335.0
1072,335.0
1073,335.0
1074,334.0
1075,334.0
1076,333.0
1077,333.0
1078,333.0
1079,334.0
1080,334.0
1081,333.0
1082,333.0
1083,335.0
1084,335.0
1085,335.0
1086,339.0
1087,342.0
1088,341.0
1089,339.0
1090,338.0
1091,337.0
1092,338.0
1093,338.0
1094,337.0
1095,337.0
1096,337.0
1097,337.0
1098,337.0
1099,336.0
1100,336.0
1101,339.0
1102,338.0
1103,338.0
1104,339.0
1105,343.0
1106,346.0
1107,344.0
1108,340.0
1109,339.0
1110,339.0
1111,339.0
1112,339.0
1113,339.0
1114,338.0
1115,337.0
1116,337.0
1117,337.0
1118,336.0
1119,336.0
1120,336.0
1121,335.0
1122,336.0
1123,337.0
1124,337.0
1125,343.0
1126,345.0
1127,342.0
1128,341.0
1129,339.0
1130,338.0
1131,336.0
1132,336.0
1133,335.0
1134,335.0
1135,333.0
1136,332.0
1137,331.0
1138,331.0
1139,331.0
1140,332.0
1141,333.0
1142,335.0
1143,336.0
1144,337.0
1145,341.0
1146,351.0
1147,358.0
1148,368.0
1149,380.0
1150,393.0
1151,407.0
1152,419.0
1153,423.0
1154,419.0
1155,408.0
1156,393.0
1157,378.0
1158,364.0
1159,353.0
1160,345.0
1161,336.0
1162,328.0
1163,321.0
1164,315.0
1165,320.0
1166,330.0
1167,340.0
1168,343.0
1169,341.0
1170,336.0
1171,333.0
1172,332.0
1173,329.0
1174,325.0
1175,321.0
1176,319.0
1177,318.0
1178,316.0
1179,312.0
1180,310.0
1181,308.0
1182,306.0
1183,310.0
1184,314.0
1185,322.0
1186,329.0
1187,330.0
1188,332.0
1189,332.0
1190,329.0
1191,322.0
1192,309.0
1193,298.0
1194,298.0
1195,312.0
1196,321.0
1197,319.0
1198,316.0
1199,317.0
1200,320.0
1201,323.0
1202,316.0
1203,301.0
1204,296.0
1205,295.0
1206,286.0
1207,231.0
1208,185.0
1209,198.0
1210,219.0
1211,197.0
1212,125.0
1213,108.0
1214,0.0
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,0.0
1234,0.0
1235,0.0
1236,0.0
1237,0.0
1238,0.0
1239,0.0
1240,20.0
1241,49.0
1242,78.0
1243,104.0
1244,128.0
1245,226.0
1246,509.0
1247,662.0
1248,662.0
1249,662.0
1250,662.0
1251,662.0
1252,662.0
1253,662.0
1254,662.0
1255,662.0
1256,662.0
1257,662.0
1258,662.0
1259,662.0
1260,662.0
1261,662.0
1262,662.0
1263,662.0
1264,662.0
1265,662.0
1266,662.0
1267,662.0
1268,662.0
1269,662.0
1270,662.0
1271,662.0
1272,662.0
1273,662.0
1274,662.0
1275,662.0
1276,662.0
1277,662.0
1278,662.0
1279,662.0
1280,662.0
1281,662.0
1282,662.0
1283,662.0
1284,662.0
1285,662.0
1286,662.0
1287,662.0
1288,662.0
1289,662.0
1290,662.0
1291,662.0
1292,662.0
1293,662.0
1294,659.0
1295,639.0
1296,612.0
1297,586.0
1298,561.0
1299,539.0
1300,520.0
1301,502.0
1302,456.0
1303,249.0
1304,0.0
1305,0.0
1306,0.0
1307,0.0
1308,0.0
1309,0.0
1310,0.0
1311,0.0
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,0.0
1328,0.0
1329,0.0
1330,0.0
1331,0.0
1332,0.0
1333,0.0
1334,0.0
1335,0.0
1336,0.0
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,9.0
1344,24.0
1345,41.0
1346,55.0
1347,68.0
1348,82.0
1349,97.0
1350,112.0
1351,126.0
1352,137.0
1353,150.0
1354,161.0
1355,172.0
1356,185.0
1357,195.0
1358,202.0
1359,203.0
1360,203.0
1361,204.0
1362,207.0
1363,212.0
1364,220.0
1365,230.0
1366,238.0
1367,248.0
1368,257.0
1369,257.0
1370,261.0
1371,268.0
1372,273.0
1373,276.0
1374,275.0
1375,278.0
1376,285.0
1377,291.0
1378,296.0
1379,296.0
1380,297.0
1381,301.0
1382,307.0
1383,312.0
1384,316.0
1385,320.0
1386,322.0
1387,323.0
1388,322.0
1389,322.0
1390,323.0
1391,323.0
1392,322.0
1393,321.0
1394,321.0
1395,321.0
1396,321.0
1397,321.0
1398,321.0
1399,320.0
1400,322.0
1401,323.0
1402,323.0
1403,323.0
1404,322.0
1405,323.0
1406,325.0
1407,325.0
1408,325.0
1409,324.0
1410,324.0
1411,323.0
1412,323.0
1413,323.0
1414,323.0
1415,323.0
1416,323.0
1417,323.0
1418,324.0
1419,324.0
1420,326.0
1421,326.0
1422,327.0
1423,328.0
1424,328.0
1425,328.0
1426,328.0
1427,328.0
1428,330.0
1429,330.0
1430,330.0
1431,329.0
1432,329.0
1433,329.0
1434,329.0
1435,329.0
1436,329.0
1437,329.0
1438,329.0
1439,329.0
1440,330.0
1441,343.0
1442,350.0
1443,344.0
1444,336.0
1445,334.0
1446,334.0
1447,333.0
1448,332.0
1449,333.0
1450,333.0
1451,334.0
1452,332.0
1453,331.0
1454,332.0
1455,332.0
1456,333.0
1457,334.0
1458,334.0
1459,334.0
1460,331.0
1461,329.0
1462,328.0
1463,328.0
1464,328.0
1465,329.0
1466,330.0
1467,330.0
1468,329.0
1469,330.0
1470,329.0
1471,329.0
1472,329.0
1473,330.0
1474,330.0
1475,331.0
1476,332.0
1477,333.0
1478,334.0
1479,334.0
1480,333.0
1481,333.0
1482,333.0
1483,335.0
1484,335.0
1485,334.0
1486,333.0
1487,333.0
1488,333.0
1489,334.0
1490,335.0
1491,334.0
1492,334.0
1493,335.0
1494,336.0
1495,336.0
1496,336.0
1497,336.0
1498,336.0
1499,336.0
1500,335.0
1501,333.0
1502,332.0
1503,333.0
1504,333.0
1505,334.0
1506,335.0
1507,335.0
1508,335.0
1509,335.0
1510,335.0
1511,336.0
1512,338.0
1513,341.0
1514,343.0
1515,343.0
1516,343.0
1517,344.0
1518,343.0
1519,343.0
1520,342.0
1521,341.0
1522,341.0
1523,340.0
1524,338.0
1525,337.0
1526,336.0
1527,336.0
1528,335.0
1529,334.0
1530,334.0
1531,336.0
1532,336.0
1533,337.0
1534,335.0
1535,334.0
1536,333.0
1537,334.0
1538,334.0
1539,333.0
1540,333.0
1541,332.0
1542,332.0
1543,332.0
1544,333.0
1545,333.0
1546,333.0
1547,334.0
1548,335.0
1549,334.0
1550,334.0
1551,334.0
1552,334.0
1553,336.0
1554,337.0
1555,336.0
1556,337.0
1557,336.0
1558,335.0
1559,335.0
1560,335.0
1561,335.0
1562,335.0
1563,336.0
1564,335.0
1565,335.0
1566,336.0
1567,336.0
1568,336.0
1569,336.0
1570,336.0
1571,336.0
1572,336.0
1573,336.0
1574,337.0
1575,337.0
1576,338.0
1577,339.0
1578,339.0
1579,339.0
1580,339.0
1581,339.0
1582,339.0
1583,338.0
1584,338.0
1585,337.0
1586,337.0
1587,337.0
1588,337.0
1589,336.0
1590,336.0
1591,336.0
1592,336.0
1593,335.0
1594,335.0
1595,336.0
1596,336.0
1597,337.0
1598,336.0
1599,337.0
1600,337.0
1601,336.0
1602,336.0
1603,336.0
1604,335.0
1605,335.0
1606,335.0
1607,334.0
1608,333.0
1609,336.0
1610,338.0
1611,339.0
1612,338.0
1613,336.0
1614,336.0
1615,338.0
1616,341.0
1617,341.0
1618,341.0
1619,342.0
1620,341.0
1621,340.0
1622,337.0
1623,337.0
1624,338.0
1625,339.0
1626,339.0
1627,340.0
1628,341.0
1629,341.0
1630,341.0
1631,341.0
1632,341.0
1633,341.0
1634,343.0
1635,344.0
1636,345.0
1637,344.0
1638,343.0
1639,342.0
1640,342.0
1641,340.0
1642,337.0
1643,334.0
1644,331.0
1645,331.0
1646,332.0
1647,333.0
1648,335.0
1649,336.0
1650,336.0
1651,337.0
1652,337.0
1653,337.0
1654,338.0
1655,341.0
1656,343.0
1657,343.0
1658,341.0
1659,340.0
1660,339.0
1661,338.0
1662,338.0
1663,337.0
1664,334.0
1665,332.0
1666,329.0
1667,329.0
1668,329.0
1669,330.0
1670,332.0
1671,335.0
1672,337.0
1673,337.0
1674,337.0
1675,337.0
1676,338.0
1677,337.0
1678,337.0
1679,337.0
1680,338.0
1681,339.0
1682,340.0
1683,341.0
1684,341.0
1685,342.0
1686,341.0
1687,338.0
1688,335.0
1689,334.0
1690,334.0
1691,332.0
1692,332.0
1693,332.0
1694,333.0
1695,334.0
1696,334.0
1697,334.0
1698,335.0
1699,336.0
1700,337.0
1701,338.0
1702,341.0
1703,342.0
1704,342.0
1705,341.0
1706,342.0
1707,341.0
1708,339.0
1709,338.0
1710,337.0
1711,338.0
1712,338.0
1713,338.0
1714,339.0
1715,340.0
1716,339.0
1717,339.0
1718,340.0
1719,341.0
1720,339.0
1721,339.0
1722,339.0
1723,339.0
1724,339.0
1725,338.0
1726,338.0
1727,341.0
1728,341.0
1729,343.0
1730,343.0
1731,341.0
1732,341.0
1733,341.0
1734,341.0
1735,341.0
1736,341.0
1737,339.0
1738,337.0
1739,335.0
1740,335.0
1741,335.0
1742,335.0
1743,334.0
1744,333.0
1745,334.0
1746,335.0
1747,335.0
1748,334.0
1749,334.0
1750,336.0
1751,335.0
1752,335.0
1753,335.0
1754,337.0
1755,338.0
1756,338.0
1757,338.0
1758,338.0
1759,338.0
1760,339.0
1761,338.0
1762,338.0
1763,339.0
1764,338.0
1765,338.0
1766,338.0
1767,338.0
1768,338.0
1769,337.0
1770,337.0
1771,338.0
1772,339.0
1773,340.0
1774,340.0
1775,340.0
1776,339.0
1777,339.0
1778,339.0
1779,339.0
1780,339.0
1781,338.0
1782,337.0
1783,337.0
1784,338.0
1785,338.0
1786,338.0
1787,338.0
1788,338.0
1789,339.0
1790,339.0
1791,338.0
1792,338.0
1793,339.0
1794,340.0
1795,341.0
1796,341.0
1797,341.0
1798,340.0
1799,340.0
1800,340.0
1801,340.0
1802,340.0
1803,340.0
1804,340.0
1805,341.0
1806,342.0
1807,341.0
1808,341.0
1809,340.0
1810,339.0
1811,339.0
1812,338.0
1813,338.0
1814,339.0
1815,338.0
1816,338.0
1817,338.0
1818,337.0
1819,337.0
1820,336.0
1821,336.0
1822,337.0
1823,337.0
1824,337.0
1825,337.0
1826,337.0
1827,337.0
1828,336.0
1829,336.0
1830,337.0
1831,337.0
1832,337.0
1833,339.0
1834,339.0
1835,338.0
1836,339.0
1837,340.0
1838,340.0
1839,339.0
1840,338.0
1841,336.0
1842,334.0
1843,334.0
1844,335.0
1845,335.0
1846,334.0
1847,332.0
1848,332.0
1849,335.0
1850,338.0
1851,340.0
1852,342.0
1853,343.0
1854,343.0
1855,342.0
1856,341.0
1857,342.0
1858,342.0
1859,342.0
1860,342.0
1861,341.0
1862,344.0
1863,361.0
1864,378.0
1865,394.0
1866,426.0
1867,443.0
1868,432.0
1869,419.0
1870,421.0
1871,419.0
1872,408.0
1873,393.0
1874,382.0
1875,374.0
1876,362.0
1877,351.0
1878,340.0
1879,331.0
1880,323.0
1881,312.0
1882,297.0
1883,292.0
1884,261.0
1885,214.0
1886,189.0
1887,188.0
1888,203.0
1889,217.0
1890,231.0
1891,253.0
1892,279.0
1893,297.0
1894,296.0
1895,299.0
1896,308.0
1897,316.0
1898,324.0
1899,336.0
1900,352.0
1901,367.0
1902,380.0
1903,386.0
1904,387.0
1905,377.0
1906,351.0
1907,329.0
1908,324.0
1909,327.0
1910,333.0
1911,329.0
1912,323.0
1913,319.0
1914,318.0
1915,319.0
1916,323.0
1917,328.0
1918,332.0
1919,337.0
1920,341.0
1921,344.0
1922,345.0
1923,346.0
1924,347.0
1925,348.0
1926,350.0
1927,351.0
1928,349.0
1929,346.0
1930,347.0
1931,348.0
1932,345.0
1933,342.0
1934,341.0
1935,341.0
1936,337.0
1937,334.0
1938,335.0
1939,338.0
1940,340.0
1941,342.0
1942,343.0
1943,344.0
1944,345.0
1945,342.0
1946,339.0
1947,342.0
1948,345.0
1949,348.0
1950,348.0
1951,479.0
1952,572.0
1953,646.0
1954,755.0
1955,859.0
1956,949.0
1957,1023.0
1958,1023.0
1959,1023.0
1960,1023.0
1961,1023.0
1962,1023.0
1963,1023.0
1964,1023.0
1965,1016.0
1966,947.0
1967,873.0
1968,774.0
1969,668.0
1970,539.0
1971,292.0
1972,285.0
1973,171.0
1974,69.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,287.0
1984,648.0
1985,648.0
1986,648.0
1987,648.0
1988,648.0
1989,648.0
1990,648.0
1991,648.0
1992,648.0
1993,648.0
1994,648.0
1995,648.0
1996,648.0
1997,648.0
1998,648.0
1999,648.0
2000,648.0
2001,648.0
2002,648.0
2003,648.0
2004,648.0
2005,648.0
2006,648.0
2007,648.0
2008,647.0
2009,647.0
2010,648.0
2011,648.0
2012,648.0
2013,648.0
2014,648.0
2015,648.0
2016,648.0
2017,648.0
2018,648.0
2019,648.0
2020,648.0
2021,648.0
2022,648.0
2023,648.0
2024,0.0
2025,0.0
2026,0.0
2027,0.0
2028,0.0
2029,0.0
2030,0.0
2031,0.0
2032,0.0
2033,0.0
2034,0.0
2035,0.0
2036,0.0
2037,646.0
2038,646.0
2039,647.0
2040,648.0
2041,648.0
2042,648.0
2043,648.0
2044,648.0
2045,648.0
2046,648.0
2047,648.0
2048,648.0
2049,648.0
2050,648.0
2051,648.0
2052,648.0
2053,648.0
2054,648.0
2055,648.0
2056,648.0
2057,648.0
2058,648.0
2059,648.0
2060,648.0
2061,648.0
2062,648.0
2063,648.0
2064,648.0
2065,648.0
2066,648.0
2067,648.0
2068,648.0
2069,648.0
2070,648.0
2071,648.0
2072,648.0
2073,648.0
2074,648.0
2075,648.0
2076,648.0
2077,648.0
2078,648.0
2079,648.0
2080,648.0
2081,648.0
2082,648.0
2083,648.0
2084,648.0
2085,648.0
2086,648.0
2087,648.0
2088,648.0
2089,648.0
2090,648.0
2091,648.0
2092,648.0
2093,648.0
2094,648.0
2095,648.0
2096,648.0
2097,648.0
2098,648.0
2099,648.0
2100,648.0
2101,648.0
2102,648.0
2103,648.0
2104,648.0
2105,648.0
2106,648.0
2107,648.0
2108,648.0
2109,648.0
2110,648.0
2111,648.0
2112,648.0
2113,648.0
2114,648.0
2115,648.0
2116,648.0
2117,648.0
2118,648.0
2119,648.0
2120,648.0
2121,648.0
2122,648.0
2123,648.0
2124,648.0
2125,648.0
2126,648.0
2127,648.0
2128,648.0
2129,648.0
2130,648.0
2131,648.0
2132,648.0
2133,648.0
2134,648.0
